,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
79,1_4551460499_Integrata,,2080567634,OB,UCB,Close,Close,
505,2_4551460499_Integrata,,2080567635,OB,UCB,Close,Close,
579,1_4551203153_Integrata,,1737813324,OB,UCB,Close,Close,
1201,6_4551203153_Integrata,,1737813326,OB,UCB,Close,Close,
1224,9_4551203153_Integrata,,1737813341,OB,UCB,Close,Close,
1272,6_4551464617_Integrata,,2086488714,OB,UCB,Close,Close,
2185,3_4551203153_Integrata,,1737813331,OB,UCB,Close,Close,
2619,10_4551203153_Integrata,,1737813332,OB,UCB,Close,Close,
2705,10_4551460499_Integrata,,2080567633,OB,UCB,Close,Close,
2998,7_4551203153_Integrata,,1737813339,OB,UCB,Close,Close,
4023,9_4551464617_Integrata,,2086488715,OB,UCB,Close,Close,
4201,3_4551460499_Integrata,,2080567637,OB,UCB,Close,Close,
