,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
0,"[None, None, '49_2491191305_Integrata', '50_2491191305_Integrata']","['121_2491191305_Barclays', '118_2491191305_Barclays', None, None]","[1722559131, 1722559150, 1722559127, 1722559138]","['OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,Barclays
1,"[None, '45_2491154890_Integrata']","['91_2491160587_Barclays', None]","[1682323661, 1674649961]","['OB', 'OB']",UMR,UMR,match,match,Barclays
2,"['69_2491323828_Integrata', None]","[None, '70_2491325537_Barclays']","[1897394178, 1899773191]","['OB', 'OB']",UMR,UMR,match,match,Barclays
3,"['48_2491154890_Integrata', None]","[None, '96_2491160587_Barclays']","[1674649970, 1682323680]","['OB', 'OB']",UMR,UMR,match,match,Barclays
4,"['70_2491323828_Integrata', None]","[None, '73_2491325537_Barclays']","[1897394184, 1899773177]","['OB', 'OB']",UMR,UMR,match,match,Barclays
