,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
0,"['2_2491450032_Integrata', '2_2491450110_Integrata', None, None, None, None, None, None, None, None]","[None, None, '451_2491450188_Morgan Stanley', '450_2491450188_Morgan Stanley', '775_2491450188_Morgan Stanley', '446_2491450188_Morgan Stanley', '449_2491450188_Morgan Stanley', '774_2491450188_Morgan Stanley', '776_2491450188_Morgan Stanley', '765_2491450188_Morgan Stanley']","[1860087289, 1860134515, 1860152283, 1860152286, 1860152287, 1860152285, 1860152298, 1860152299, 1860152300, 1860152302]","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,Morgan Stanley
1,"['11_2491450032_Integrata', '11_2491450110_Integrata', None, None, None, None, None, None]","[None, None, '599_2491450188_Morgan Stanley', '796_2491450188_Morgan Stanley', '780_2491450188_Morgan Stanley', '486_2491450188_Morgan Stanley', '779_2491450188_Morgan Stanley', '483_2491450188_Morgan Stanley']","[1860087307, 1860134541, 1860152562, 1860152564, 1860152563, 1860152305, 1860152306, 1860152304]","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,Morgan Stanley
2,"['6_2491450032_Integrata', '7_2491450032_Integrata', '7_2491450110_Integrata', '8_2491450110_Integrata', '8_2491450032_Integrata', '6_2491450110_Integrata', None, None, None, None, None, None]","[None, None, None, None, None, None, '787_2491450188_Morgan Stanley', '473_2491450188_Morgan Stanley', '793_2491450188_Morgan Stanley', '509_2491450188_Morgan Stanley', '803_2491450188_Morgan Stanley', '813_2491450188_Morgan Stanley']","[1860087296, 1860087298, 1860134508, 1860134496, 1860087300, 1860134498, 1860152349, 1860152348, 1860152350, 1860152446, 1860152447, 1860152448]","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,Morgan Stanley
3,"['12_2491450110_Integrata', '12_2491450032_Integrata', None, None]","[None, None, '814_2491450188_Morgan Stanley', '511_2491450188_Morgan Stanley']","[1860134509, 1860087310, 1860152683, 1860152395]","['OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,Morgan Stanley
4,"['13_2491450032_Integrata', '13_2491450110_Integrata', None, None, None, None, None, None, None, None]","[None, None, '795_2491450188_Morgan Stanley', '459_2491450188_Morgan Stanley', '875_2491450188_Morgan Stanley', '821_2491450188_Morgan Stanley', '800_2491450188_Morgan Stanley', '494_2491450188_Morgan Stanley', '517_2491450188_Morgan Stanley', '598_2491450188_Morgan Stanley']","[1860087313, 1860134518, 1860152331, 1860152330, 1860152332, 1860152333, 1860152392, 1860152389, 1860152390, 1860152391]","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,Morgan Stanley
5,"['24_2491450110_Integrata', '24_2491450032_Integrata', None, None, None, None, None, None, None, None, None, None]","[None, None, '641_2491450188_Morgan Stanley', '917_2491450188_Morgan Stanley', '932_2491450188_Morgan Stanley', '907_2491450188_Morgan Stanley', '640_2491450188_Morgan Stanley', '661_2491450188_Morgan Stanley', '630_2491450188_Morgan Stanley', '935_2491450188_Morgan Stanley', '916_2491450188_Morgan Stanley', '669_2491450188_Morgan Stanley']","[1860134504, 1860087297, 1860152604, 1860152607, 1860152606, 1860152605, 1860152603, 1860152600, 1860152598, 1860152602, 1860152601, 1860152599]","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,Morgan Stanley
6,"['23_2491450110_Integrata', '23_2491450032_Integrata', None, None, None, None, None, None, None, None]","[None, None, '636_2491450188_Morgan Stanley', '908_2491450188_Morgan Stanley', '642_2491450188_Morgan Stanley', '927_2491450188_Morgan Stanley', '922_2491450188_Morgan Stanley', '643_2491450188_Morgan Stanley', '668_2491450188_Morgan Stanley', '629_2491450188_Morgan Stanley']","[1860134511, 1860087294, 1860152579, 1860152581, 1860152580, 1860152582, 1860152595, 1860152593, 1860152594, 1860152592]","['OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB', 'OB']",UMR,UMR,match,match,Morgan Stanley
7,"[None, '11_2491430064_Integrata', '11_2491430051_Integrata']","['9_2491430084_Morgan Stanley', None, None]","[1860183594, 1860183599, 1860183597]","['SPM', 'SPM', 'SPM']",UMR,UMR,match,match,Morgan Stanley
8,"[None, '14_2491430064_Integrata', '14_2491430051_Integrata']","['30_2491430084_Morgan Stanley', None, None]","[1860183638, 1860183641, 1860183643]","['SPM', 'SPM', 'SPM']",UMR,UMR,match,match,Morgan Stanley
9,"[None, '13_2491430051_Integrata', '13_2491430064_Integrata']","['14_2491430084_Morgan Stanley', None, None]","[1860183662, 1860183664, 1860183665]","['SPM', 'SPM', 'SPM']",UMR,UMR,match,match,Morgan Stanley
